Distance_(pixels),Gray_Value
1565,33.7500
1566,32.5000
1567,31.2500
1568,30.7500
1569,30.3750
1570,30.5000
1571,31.1250
1572,32.0000
1573,33.1250
1574,33.1250
1575,32.6250
1576,30.7500
1577,28.6250
1578,27.3750
1579,26.5000
1580,26.2500
1581,27.6250
1582,29.5000
1583,31.5000
1584,34.0000
1585,35.3750
1586,36.1250
1587,36.1250
1588,36.1250
1589,35.3750
1590,34.5000
1591,32.8750
1592,31.1250
1593,30.8750
1594,31.0000
1595,31.7500
1596,33.1250
1597,34.2500
1598,34.1250
1599,33.1250
1600,31.8750
1601,30.6250
1602,29.7500
1603,30.0000
1604,30.6250
1605,31.3750
1606,31.6250
1607,31.7500
1608,32.2500
1609,32.5000
1610,32.6250
1611,33.1250
1612,33.0000
1613,32.8750
1614,32.5000
1615,32.5000
1616,32.3750
1617,32.5000
1618,32.6250
1619,33.3750
1620,32.6250
1621,33.2500
1622,33.0000
1623,33.3750
1624,33.0000
1625,32.5000
1626,31.5000
1627,31.1250
1628,31.5000
1629,34.1250
1630,36.3750
1631,37.7500
1632,38.5000
1633,38.0000
1634,36.0000
1635,33.2500
1636,32.0000
1637,30.5000
1638,30.1250
1639,29.5000
1640,30.2500
1641,31.0000
1642,31.0000
1643,31.3750
1644,31.7500
1645,31.5000
1646,29.7500
1647,28.5000
1648,27.7500
1649,27.2500
1650,27.1250
1651,28.0000
1652,29.3750
1653,29.7500
1654,31.2500
1655,32.7500
1656,35.3750
1657,36.5000
1658,37.0000
1659,36.7500
1660,35.5000
1661,33.3750
1662,31.2500
1663,29.2500
1664,29.3750
1665,29.3750
1666,30.7500
1667,31.2500
1668,32.6250
1669,34.2500
1670,34.7500
1671,33.5000
1672,32.5000
1673,31.3750
1674,30.0000
1675,29.7500
1676,30.6250
1677,33.0000
1678,34.3750
1679,36.0000
1680,36.7500
1681,36.3750
1682,34.8750
1683,32.8750
1684,31.5000
1685,30.6250
1686,30.5000
1687,29.8750
1688,29.7500
1689,29.0000
1690,29.1250
1691,28.7500
1692,29.5000
1693,29.5000
1694,31.7500
1695,32.6250
1696,32.2500
1697,31.0000
1698,29.6250
1699,29.2500
1700,30.3750
1701,31.5000
1702,35.1250
1703,39.0000
1704,40.8750
1705,40.1250
1706,37.5000
1707,35.0000
1708,33.1250
1709,30.7500
1710,29.5000
1711,29.1250
1712,28.5000
1713,27.0000
1714,26.5000
1715,27.1250
1716,28.2500
1717,30.0000
1718,31.5000
1719,32.2500
1720,31.6250
1721,30.3750
1722,29.3750
1723,28.6250
1724,28.2500
1725,29.1250
1726,30.0000
1727,31.5000
1728,32.5000
1729,34.3750
1730,36.0000
1731,37.0000
1732,36.2500
1733,35.1250
1734,33.3750
1735,32.5000
1736,32.1250
1737,32.6250
1738,34.0000
1739,36.2500
1740,38.0000
1741,36.8750
1742,35.6250
1743,33.0000
1744,32.1250
1745,30.6250
1746,30.5000
1747,31.5000
1748,33.2500
1749,34.2500
1750,35.0000
1751,34.2500
1752,33.6250
